Role,Feature,Status,Description
Admin Bank,Antarmuka (UI/UX) Dashboard,Selesai,Dashboard Admin dengan desain responsif dan visualisasi data finansial
Admin Bank,Integrasi Backend,Selesai,Skrip frontend terhubung API Node.js dan Prisma ORM
Admin Bank,Manajemen Saldo (F-01),Selesai,Menampilkan data nasabah tipe akun status dan nominal saldo
Admin Bank,Validasi Pinjaman (F-04),Selesai,Penyetujuan atau penolakan pengajuan kredit via API
Admin Bank,Distribusi Dana (F-06),Selesai,Pemindahan dana legal dari bank Reserve ke sirkulasi ekosistem
Admin Bank,Tarik Biaya Layanan (F-07),Selesai,Trigger manual penarikan fee admin dari sirkulasi
Admin Bank,Buku Besar / Ledger (F-08),Selesai,Tabel Ledger memonitor riwayat transaksi SSOT real-time
Teller Bank,Antarmuka (UI/UX) Workspace,Selesai,Workspace operasional memiliki pencarian nasabah
Teller Bank,Integrasi Backend,Selesai,Logika endpoint API ke antarmuka Teller telah terhubung sepenuhnya
Teller Bank,Setor & Tarik Tunai (F-05),Selesai,Formulir eksekusi terhubung secara langsung ke server melalui API
Teller Bank,Transfer Antar User (F-02),Selesai,Pemindahan dana terverifikasi menggunakan backend API
Nasabah Ritel,Antarmuka (UI/UX) Mobile-first,Selesai,Dioptimalkan ukuran HP dengan efek glassmorphism
Nasabah Ritel,Integrasi Backend,Selesai,Sistem JWT Authentication dan data fetch API telah diimplementasi
Nasabah Ritel,Informasi Saldo (F-01),Selesai,UI menampilkan data saldo akurat langsung dari server
Nasabah Ritel,Transfer Antar User (F-02),Selesai,Fungsionalitas transfer sukses terkoneksi ke API internal
Nasabah Ritel,Pengajuan Pinjaman (F-04),Selesai,Formulir pinjaman otomatis mengirim request ke Dashboard Admin
Sistem & Infrastruktur,Arsitektur RDBMS,Selesai,Konfigurasi ORM Prisma sudah diterapkan
Sistem & Infrastruktur,Business Logic,Selesai,API Node.js untuk Dashboard User Loan dan Transaksi
Sistem & Infrastruktur,Pembayaran Transaksi API (F-03),Berjalan,Logika webhook dan validasi untuk entitas luar dipersiapkan
Kepatuhan Aturan,Pola Input-Proses-Output (IPO),Selesai,Setiap fitur API memiliki alur IPO yang eksplisit
Kepatuhan Aturan,Keamanan Autentikasi (JWT),Selesai,Mekanisme otorisasi ketat telah diterapkan antar modul
Kepatuhan Aturan,Pencatatan Log & Ledger,Selesai,Aktivitas transaksi dan error terekam kuat di database
Kepatuhan Aturan,Komunikasi API Gateway Eksternal,Tertunda,Sistem belum diintegrasikan dengan gerbang jaringan luar
Kepatuhan Aturan,Fee Bank (1%) & Pajak (2%),Selesai,Pemotongan otomatis pada fitur transfer telah presisi
Kepatuhan Aturan,Limit Pinjaman & Bunga 10%,Selesai,Maksimal peminjaman 100k dan skema beban telah disetel
Kepatuhan Aturan,Kontrol Money Supply Maksimal,Selesai,Sistem SSOT mengelola Supply Reserve dan Circulating
Kepatuhan Aturan,Limit Reserve Bank 98%,Tertunda,Belum ada penjagaan statis yang memblokir penarikan di bawah batas
Dokumentasi,Dokumen Desain Sistem,Selesai,PRD dan DOKUMENTASI teknis (arsitektur & use case) telah terbit
Dokumentasi,Skenario Demo Integrasi,Tertunda,Demo end-to-end menunggu API eksternal tersambung
